"","Country","CPC_Class","y13","y14","y15","y16","y17","y18"
"458","India","Other shrimps and prawns, live, fresh or chilled",60582.43,71113.13,47623.65,68053.85,55625.2,58488.54
"459","India","Oysters, live, fresh or chilled",5158.04,5005.77,3951.56,3772.58,3992.53,3801.76
"460","India","Salmonidae, live, fresh or chilled",3071.78,3932.52,4910.22,5357.52,5873.63,5592.97
"461","India","Seaweeds and other algae, fresh, frozen or dried, whether or not ground",0.27,0.26,0.25,0.24,0,0
"462","India","Seaweeds and other algae, fresh, frozen or dried, whether or not ground",153.59,98.31,93.53,59.53,373.84,422.52
"463","Indonesia","Clams, cockles and ark shells, live, fresh or chilled",0,0,0,0,0,9064.35
"464","Indonesia","Coral and similar products, shells of molluscs, crustaceans or echinoderms and cuttle-bone; live aquatic plants and animals for ornamental purpose",0,38,15.2,0,22450.4,0
"465","Indonesia","Coral and similar products, shells of molluscs, crustaceans or echinoderms and cuttle-bone; live aquatic plants and animals for ornamental purpose",17454.42,26636.27,19501.61,32385.96,37943.01,30219.11
"466","Indonesia","Crabs, live, fresh or chilled",56909.62,57318.75,46850.46,44913.18,34007.21,135772.33
"467","Indonesia","Freshwater fish, live, fresh or chilled",188051.02,222934.45,140444.67,320147.5,106376.17,104209.63
"468","Indonesia","Freshwater fish, live, fresh or chilled",4497395.1,5061438.95,4472698.51,5009886.26,6132324.78,5800112.47
"469","Indonesia","Mussels, live, fresh or chilled",0,0,0,0,0,16000.99
"470","Indonesia","Other crustaceans, live, fresh or chilled",0,0,0,0,308.28,0
"471","Indonesia","Other fish, live, fresh or chilled",885833.85,777536.67,762013.07,891871.82,888863.3,1256071.39
"472","Indonesia","Other fish, live, fresh or chilled",419.67,2454.34,71610.71,62968.07,77382.21,97078.47
"473","Indonesia","Other fish, live, fresh or chilled",270655.22,153616.85,157703.61,141007.31,596020.81,94714.33
"474","Indonesia","Other molluscs, live, fresh or chilled",0,0,0,0,0,0
"475","Indonesia","Other shrimps and prawns, live, fresh or chilled",3000391.97,2536850.59,2194746.15,3187473.37,4320679.7,4314508.64
"476","Indonesia","Other shrimps and prawns, live, fresh or chilled",19425.66,65927.19,33184.81,159616.87,91894.18,136428.73
"477","Indonesia","Rock lobster and other sea crawfish, live, fresh or chilled",13107.53,2553.18,1803.66,4182.16,29200.2,13575.41
"478","Indonesia","Sea cucumbers, live, fresh or chilled",2457.05,1453.83,18790.67,2761.27,18720.82,3192.39
"479","Indonesia","Seaweeds and other algae, fresh, frozen or dried, whether or not ground",139832.09,139760.93,86429.06,111666.13,87057.82,7135.63
"480","Indonesia","Seaweeds and other algae, fresh, frozen or dried, whether or not ground",1591258.07,1512229.8,755231.81,1049420.01,992761.24,1375832.81
"481","Indonesia","Others",76,0,0,677.01,676.77,636.08
"482","Iran (Islamic Rep. of)","Freshwater fish, live, fresh or chilled",444889.8,449700.1,487769.8,532904.2,519413.3,496607.5
"483","Iran (Islamic Rep. of)","Other crustaceans, live, fresh or chilled",1600,416,640,464,288,200
"484","Iran (Islamic Rep. of)","Other fish, live, fresh or chilled",1692,1950,3213,6438,7854,8517
